pl_name,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse
11 Com b,Radial Velocity,2007,Xinglong Station,326.03,,6165.6
11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,,4684.8142
14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,,1131.1513
14 Her b,Radial Velocity,2002,W. M. Keck Observatory,1773.4,,1474.67
16 Cyg B b,Radial Velocity,1996,Multiple Observatories,799.45,,556.83537
17 Sco b,Radial Velocity,2020,Lick Observatory,578.38,,1373.01872
18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,,3273.5
24 Boo b,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,,280.64248
24 Sex b,Radial Velocity,2010,Lick Observatory,452.8,,632.46
24 Sex c,Radial Velocity,2010,Lick Observatory,883.0,,273.32
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,406.0,,591.16084
30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.1,,3140.03
4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,,2511.48007
42 Dra b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,,1233.13
47 UMa b,Radial Velocity,1996,Lick Observatory,1076.6,,778.6835
47 UMa c,Radial Velocity,2001,Lick Observatory,2391.0,,171.621
47 UMa d,Radial Velocity,2009,Lick Observatory,14002.0,,521.22
51 Eri b,Imaging,2015,Gemini Observatory,14965.0,,
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,4.231,,146.2018
55 Cnc b,Radial Velocity,1996,Lick Observatory,14.65126,,260.61
55 Cnc c,Radial Velocity,2004,McDonald Observatory,44.3827,,54.34866
55 Cnc d,Radial Velocity,2002,Lick Observatory,4820.0,,908.98924
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365417,,
55 Cnc f,Radial Velocity,2007,Multiple Observatories,262.0,,44.812
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,899.0,,762.8
61 Vir b,Radial Velocity,2009,Multiple Observatories,4.21487,,5.11704
61 Vir c,Radial Velocity,2009,Multiple Observatories,38.0957,,16.1139
61 Vir d,Radial Velocity,2009,Multiple Observatories,123.01,,22.9
7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,796.0,,781.8618
7 CMa c,Radial Velocity,2019,Multiple Observatories,996.0,,276.5121
70 Vir b,Radial Velocity,1996,Lick Observatory,116.689,,2084.88
75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,,953.49
75 Cet c,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,,289.85951
8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,,416.3573
81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,,1684.4
91 Aqr b,Radial Velocity,2013,Lick Observatory,181.4,,1017.0
AF Lep b,Imaging,2023,Paranal Observatory,8030.0,,1017.0509
AU Mic b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4629991,,20.12
AU Mic c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85882,,14.2
AU Mic d,Transit Timing Variations,2023,Multiple Observatories,12.73596,,1.053
BD+03 2562 b,Radial Velocity,2017,Multiple Observatories,481.9,,2034.112
BD+14 4559 b,Radial Velocity,2009,McDonald Observatory,268.94,,330.5432
BD+15 2375 b,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,,337.21763
BD+15 2940 b,Radial Velocity,2013,McDonald Observatory,137.48,,352.78
BD+20 2457 b,Radial Velocity,2009,McDonald Observatory,379.63,,6807.63
BD+20 2457 c,Radial Velocity,2009,McDonald Observatory,621.99,,3963.17
BD+20 274 b,Radial Velocity,2012,McDonald Observatory,578.2,,1334.886
BD+20 594 b,Transit,2016,K2,41.688644,2.355,
BD+45 564 b,Radial Velocity,2021,Haute-Provence Observatory,307.88,,432.24663
BD+48 738 b,Radial Velocity,2011,McDonald Observatory,392.6,,289.2253
BD+48 740 b,Radial Velocity,2018,Multiple Observatories,733.0,,540.311
BD+49 828 b,Radial Velocity,2015,McDonald Observatory,2590.0,,508.5
BD+55 362 b,Radial Velocity,2021,Haute-Provence Observatory,265.59,,228.83645
BD+63 1405 b,Radial Velocity,2021,Haute-Provence Observatory,1198.48,,1258.60049
BD-00 4475 b,Radial Velocity,2021,Haute-Provence Observatory,723.2,,7961.6016
BD-06 1339 b,Radial Velocity,2013,La Silla Observatory,3.8728,,8.5
BD-06 1339 c,Radial Velocity,2013,La Silla Observatory,125.94,,53.0
BD-08 2823 b,Radial Velocity,2009,La Silla Observatory,5.6,,12.7132
BD-08 2823 c,Radial Velocity,2009,La Silla Observatory,237.6,,104.0
BD-10 3166 b,Radial Velocity,2000,W. M. Keck Observatory,3.487,,152.55
BD-11 4672 b,Radial Velocity,2014,La Silla Observatory,1634.0,,206.5895
BD-11 4672 c,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,,15.37
